customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,2.29,0,1440,Pesto Chicken Salad Lettuce Wraps|Cheesy Southwest Chicken & Kale Rice
2,7.5,960,1200,Prosciutto-Wrapped Herb-Stuffed Chicken|Creamy Dill Organic Chicken|Zucchini & Turkey Pomodoro Penne Bake
3,6.64,0,1440,Silky Sicilian Gluten-Free Fresh Fusilli|Beef Flautas Supreme
4,7.93,480,720,Smoky Chipotle Beef Burrito Bowls|Curried Chicken & Roasted Sweet Potato Jumble
5,9.57,480,720,"Bacon, Sweet Potato & Pepper Quesadillas|Shawarma-Spiced Chicken & Farro Bowls|Silky Sicilian Penne with Bacon"
6,2.32,0,1440,Figgy Balsamic Bavette Steak
7,3.03,960,1200,Spicy Peruvian Steak
8,7.95,720,960,Chicken Chimichurri Grain Bowls|Butternut Agnolotti in Brown Butter & Parmesan
9,8.02,960,1200,Creamy Dill Sirloin Steak|Cheesy BBQ Chicken Pizzas|Tex-Mex Chicken & Queso Rice Bowls
10,4.59,480,720,Smashed Black Bean & Beef Tostadas
11,3.56,480,720,Cheesy BBQ Chicken Pizzas
12,6.44,480,720,One-Pan French Onion & Steak Orzotto|Chicken & Greek Salad Pita Pockets
13,8.8,0,1440,Pesto Shrimp Salad Lettuce Wraps|Mexican-Spiced Salmon & Street Corn Rice Bowls
14,4.44,960,1200,Zucchini & Turkey Pomodoro Penne Bake|Shawarma Dark Meat Chicken & Turmeric Rice Bowls|Zucchini Pomodoro Penne Bake
15,7.74,480,720,Thyme-Crusted Tilapia & Crème Fraîche Pan Sauce|Cheesy Prosciutto Chicken Rollatini|Rib-Eye Steak & Creamy Mustard Sauce|Beef Flautas Supreme|Figgy Balsamic Chicken|Sheet Pan Crunchy Organic Chicken
16,3.06,960,1200,Pan-Seared Chicken & Rosemary Potatoes
17,9.54,480,720,Zucchini Pomodoro Penne Bake
18,8.09,0,1440,Rib-Eye Steak & Creamy Mustard Sauce|Smoky Mustard Pork Chops & Roasted Potatoes
19,2.01,720,960,Organic Chicken & Creamy Lemon Zucchini Orzo
20,9.75,960,1200,Szechuan Pork Noodle Stir-Fry
21,6.43,480,720,Sweet Potato & Pepper Quesadillas|Air Fryer Cajun Chicken & Bacon Sandos|Sweet Thai Chili Salmon|Southwest Bavette Steak Fajita Tacos
22,6.46,720,960,Seared Salmon & Tomato-Dill Relish|Chicken with Cherry Pan Sauce
23,3.73,0,1440,Szechuan-Glazed Chicken & Jasmine Rice
24,2.32,720,960,Salmon with Lemon-Dill Sauce|Crispy Parmesan Chicken & Bacon Linguine
25,6.61,960,1200,Pub-Style Shepherd's Pie
26,8.21,720,960,Steak with Mushroom Cream Sauce
27,4.21,0,1440,Sheet Pan Crunchy Organic Chicken|Silky Sicilian Penne with Bacon|Sweet & Tangy Tempura Chicken Sandos
28,7.84,720,960,Mexican-Spiced Steak & Street Corn Rice Bowls|One-Pan Cheesy Beef Tortilla Melts|Low-Lift Romesco Chicken & Garlic Herb Orzo|Sweet & Smoky Ranch Steak|Spicy Peruvian Steak
29,3.16,480,720,Argentinian Chicken|Zucchini Pomodoro Fusilli Bake
