customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,4.25,720,960,Szechuan-Glazed Rib-Eye & Jasmine Rice|Curried Chicken & Roasted Sweet Potato Jumble
2,7.53,480,720,Silky Sicilian Penne with Shrimp|Silky Sicilian Penne|Figgy Balsamic Pork|Chicken Milanese & Creamy Pesto Fusilli|Super-Quick Chicken Spring Rolls & Mediterranean Salad
3,5.18,960,1200,Smashed Black Bean & Beef Tostadas|Sweet Thai Chili Barramundi|Savory Mushroom & Spinach Ramen
4,2.98,960,1200,Barramundi with Lemon-Dill Sauce|Onion Crunch Chicken
5,5.95,720,960,Cheesy Bacon Jam-Stuffed Chicken|Korean BBQ Mushroom & Bacon Sandwiches|Lemon Herb Chicken & Artichoke-Celery Salad
6,9.07,480,720,Figgy Balsamic Chicken
7,8.17,960,1200,Harvest Kale Salad with Shrimp|Mexican-Spiced Steak & Street Corn Rice Bowls
8,5.63,960,1200,Mushroom & Spinach Ramen with Chicken|Shawarma-Spiced Beef & Rice Bowls
9,4.49,480,720,"Szechuan-Glazed Rib-Eye & Jasmine Rice|Warm Lentil, Carrot & Feta Salad|Zucchini Pomodoro Penne Bake|Curried Chicken & Roasted Sweet Potato Jumble"
10,8.81,480,720,Creamy Chicken Pot Pie
11,6.12,720,960,Steak Agnolotti in Brown Butter Sauce|Chicken Sausage Pomodoro Penne Bake
12,9.6,0,1440,Soy-Ginger Beef Meatball Rice Bowls|Lemon Herb Salmon & Couscous|Pesto Chicken Salad Lettuce Wraps
13,3.47,720,960,Greek Goddess Steak & Bulgur Bowls|Rainbow Trout Agnolotti
14,7.12,480,720,"Figgy Balsamic Bavette Steak|Bacon, Sweet Potato & Pepper Quesadillas|Low-Lift Romesco Chicken & Garlic Herb Orzo"
15,2.81,720,960,One-Pot Loaded Three-Bean Chicken Chili|Sweet & Tangy Tempura Chicken Sandos|Smoky Mustard Chicken & Roasted Potatoes|Chicken with Cherry Pan Sauce|Mexican-Spiced Salmon & Street Corn Rice Bowls|Lemon Herb Salmon & Couscous
16,5.19,960,1200,One-Pan Cheesy Beef Tortilla Melts
17,7.33,0,1440,Smashed Black Bean & Chicken Tostadas
18,5.85,0,1440,Argentinian Chicken|Crispy Kickin' Cayenne Chicken Cutlets
19,8.26,960,1200,Creamy Dill Sirloin Steak
20,8.55,480,720,Fried Chicken BLT Sandwiches
21,8.18,0,1440,Creamy Chicken Pot Pie|Salmon with Lemon-Dill Sauce|Pesto Shrimp Salad Lettuce Wraps|One-Pan French Onion Orzotto
22,6.61,480,720,Shrimp & Greek Salad Pita Pockets|Low-Lift Romesco Chicken & Garlic Herb Orzo
23,6.51,480,720,Cheesy Prosciutto Organic Chicken Rollatini
24,8.78,960,1200,Smoky Chipotle Beef Burrito Bowls|Mexican-Spiced Steak & Street Corn Rice Bowls|One-Pan Cantina Shrimp Fajitas
25,9.52,480,720,Shrimp Spaghetti with a Kick
26,4.7,720,960,Seared Salmon & Kale Salad with Mango
27,5.22,0,1440,Sweet & Spicy Beef Fried Rice|Cheesy Buffalo Chicken Flatbreads|Zucchini & Beef Pomodoro Penne Bake
28,4.97,0,1440,Super-Quick Chicken Spring Rolls & Mediterranean Salad|Crispy Parmesan Chicken & Bacon Linguine|Salmon with Lemon-Dill Sauce|Prep & Bake Dijon Pecan Organic Chicken|Zucchini Pomodoro Fusilli Bake
29,5.36,480,720,Dijon Dill Chicken|Southwest Chicken Tacos
30,4.51,0,1440,One-Pan French Onion & Trout Orzotto|Mexican-Spiced Steak & Street Corn Rice Bowls
31,3.88,480,720,Seared Salmon & Kale Salad with Mango
32,5.3,480,720,Argentinian Bavette Steak
33,8.34,720,960,Crispy Kickin' Cayenne Chicken Cutlets|Soy-Ginger Beef Meatball Rice Bowls|Silky Sicilian Penne with Chicken
34,8.78,720,960,Chicken & Greek Salad Pita Pockets
35,5.9,960,1200,One-Pan Cantina Shrimp Fajitas|Sweet Thai Chili Barramundi|Harvest Kale Salad with Chicken
36,8.97,480,720,Smoky Chipotle Beef Burrito Bowls|BBQ Flatbreads & Chicken Sausage
37,7.34,0,1440,Gouda-Stuffed Pork Meatloaves|Greek Goddess Shrimp & Bulgur Bowls|Savory Mushroom & Spinach Ramen
38,8.25,720,960,One-Pan Cantina Shrimp Fajitas|Pub-Style Turkey Shepherd's Pie|Seared Salmon & Kale Salad with Mango
39,7.75,960,1200,Shrimp Spaghetti with a Kick|Pesto Chicken Salad Lettuce Wraps|Ponzu-Glazed Trout & Broccoli Tempura
40,5.61,960,1200,Smoky Chipotle Beef Burrito Bowls|Sweet Thai Chili Salmon
41,7.14,960,1200,Cheesy Buffalo Chicken & Mashed Potato Bake|Zucchini & Beef Pomodoro Penne Bake|Steak Salad & Tangy Red Pepper Vinaigrette
42,9.2,0,1440,Air Fryer Cajun Chicken & Bacon Sandos|Pesto Shrimp Salad Lettuce Wraps|Firecracker Meatballs
43,5.93,480,720,Soy-Ginger Beef Meatball Rice Bowls
44,4.77,720,960,"Seared Salmon & Kale Salad with Mango|Thyme-Crusted Salmon & Crème Fraîche Pan Sauce|Warm Lentil, Carrot & Feta Salad"
45,3.28,960,1200,One-Pan French Onion & Steak Orzotto|Crispy Organic Chicken & Bacon Alfredo|BBQ Pineapple Flatbreads
46,8.68,960,1200,One-Pot Loaded Three-Bean Chicken Chili
47,5.63,0,1440,"Turkey, Sweet Potato & Pepper Quesadillas"
48,3.82,480,720,"Steak Salad & Tangy Red Pepper Vinaigrette|Chicken with Cherry Pan Sauce|Zesty Lemon-Parsley Trout|Beef Flautas Supreme|Chicken, Sweet Potato & Pepper Quesadillas"
49,3.86,720,960,Silky Sicilian Penne with Chicken Sausage|Pub-Style Shepherd's Pie
50,8.95,720,960,Organic Chicken Chimichurri Grain Bowls|Pear & Walnut-Stuffed Chicken
51,2.4,720,960,Prep & Bake Cheesy Tomato Ravioli|Sirloin Steak Salad & Red Pepper Dressing|Sweet & Spicy Beef Fried Rice|Zucchini & Shrimp Pomodoro Penne Bake
52,2.7,0,1440,Figgy Balsamic Bavette Steak|Soy-Ginger Turkey Meatball Rice Bowls|Sweet & Smoky Pork Filet|Cheesy Southwest Chicken & Kale Rice
53,5.83,0,1440,Sweet Potato & Pepper Quesadillas|Shawarma Dark Meat Chicken & Turmeric Rice Bowls|Za'atar Pistachio-Crusted Sea Bass|Baked Old Bay Scallop & Shrimp Gratins|BBQ Pineapple & Bacon Flatbreads
54,4.06,480,720,Smoky Mustard Steak & Roasted Potatoes|Shawarma-Spiced Chicken & Rice Bowls|Silky Sicilian Penne with Shrimp|Creamy Dill Sirloin Steak|Shawarma-Spiced Beef & Rice Bowls
55,2.89,480,720,Turkey Lomo Saltado|Fig & Bacon Chicken Lettuce Wraps
56,7.17,720,960,Szechuan-Glazed Chicken & Jasmine Rice
57,4.53,960,1200,Dark Meat Chicken Quesadillas with Mango Salsa
58,5.59,720,960,Crispy Chicken & Bacon Alfredo|Steak & Cheddar-Swiss Fondue Board
59,7.27,0,1440,Spicy Peruvian Organic Chicken|Dijon Dill Chicken|Sweet Thai Chili Salmon
60,5.11,720,960,Pesto Shrimp Salad Lettuce Wraps|Figgy Balsamic Pork|Organic Chicken Milanese & Pesto Penne
61,5.76,480,720,Sweet Soy Salmon & Chili Roasted Green Bean Bowls
