point_id,point_type,outcode,postcode,longitude,latitude
DC_0,depot,CF5,CF5 1AE,-3.225421,51.485308
C_001,customer,CF5,CF5 1BQ,-3.22093,51.483781
C_002,customer,CF14,CF14 0RW,-3.179473,51.541961
C_003,customer,CF10,CF10 1NT,-3.180604,51.478178
C_004,customer,CF15,CF15 7AS,-3.26844,51.548019
C_005,customer,CF3,CF3 0AF,-3.110825,51.522121
C_006,customer,CF10,CF10 1BN,-3.17561,51.478813
C_007,customer,CF14,CF14 0PQ,-3.159445,51.534112
C_008,customer,CF10,CF10 1BJ,-3.184598,51.481159
C_009,customer,CF5,CF5 1FW,-3.21356,51.486088
C_010,customer,CF3,CF3 0BL,-3.098238,51.521376
C_011,customer,CF24,CF24 0EU,-3.163885,51.481529
C_012,customer,CF11,CF11 0AA,-3.190702,51.452845
C_013,customer,CF11,CF11 0BA,-3.187204,51.452826
C_014,customer,CF5,CF5 1DH,-3.212881,51.488711
C_015,customer,CF23,CF23 0LU,-3.117381,51.502015
C_016,customer,CF15,CF15 7LT,-3.244656,51.529967
C_017,customer,CF10,CF10 1DX,-3.178687,51.478656
C_018,customer,CF10,CF10 1DJ,-3.18276,51.480234
C_019,customer,CF10,CF10 1DA,-3.180455,51.479079
C_020,customer,CF11,CF11 1NB,-3.193643,51.465736
C_021,customer,CF3,CF3 0GB,-3.092541,51.526078
C_022,customer,CF10,CF10 1GJ,-3.178395,51.481285
C_023,customer,CF14,CF14 0EY,-3.174472,51.53649
C_024,customer,CF15,CF15 7JZ,-3.248302,51.535188
C_025,customer,CF11,CF11 0LE,-3.181245,51.452814
C_026,customer,CF23,CF23 5DR,-3.158356,51.496348
C_027,customer,CF15,CF15 7PW,-3.268624,51.545814
C_028,customer,CF10,CF10 1GD,-3.176722,51.476149
C_029,customer,CF14,CF14 0RU,-3.179823,51.543243
C_030,customer,CF14,CF14 0NG,-3.180773,51.527039
C_031,customer,CF24,CF24 0LD,-3.160305,51.485719
C_032,customer,CF5,CF5 1BL,-3.222382,51.483658
C_033,customer,CF5,CF5 1GH,-3.21117,51.487209
C_034,customer,CF11,CF11 0JF,-3.179487,51.454405
C_035,customer,CF11,CF11 0JU,-3.180127,51.452403
C_036,customer,CF24,CF24 0AQ,-3.162393,51.4863
C_037,customer,CF14,CF14 0PB,-3.179726,51.525018
C_038,customer,CF15,CF15 7LQ,-3.248013,51.531459
C_039,customer,CF14,CF14 0NQ,-3.179789,51.528569
C_040,customer,CF24,CF24 0LE,-3.162915,51.484173
C_041,customer,CF24,CF24 0ES,-3.162701,51.48199
C_042,customer,CF14,CF14 0RX,-3.179199,51.541406
C_043,customer,CF3,CF3 0BT,-3.105357,51.526677
C_044,customer,CF5,CF5 1DX,-3.218068,51.488244
C_045,customer,CF15,CF15 7ND,-3.264691,51.548563
C_046,customer,CF3,CF3 0AQ,-3.11124,51.524373
C_047,customer,CF11,CF11 0AT,-3.177133,51.454069
C_048,customer,CF14,CF14 0BE,-3.182849,51.545353
C_049,customer,CF11,CF11 0SF,-3.18603,51.448603
C_050,customer,CF3,CF3 0DP,-3.097586,51.528459
C_051,customer,CF24,CF24 0HY,-3.161835,51.484166
C_052,customer,CF3,CF3 0EQ,-3.10162,51.522981
C_053,customer,CF24,CF24 0RZ,-3.166492,51.482105
C_054,customer,CF15,CF15 7LF,-3.250634,51.531369
C_055,customer,CF15,CF15 7QQ,-3.271418,51.562715
C_056,customer,CF14,CF14 0AU,-3.172382,51.537059
C_057,customer,CF11,CF11 0JS,-3.181052,51.449795
C_058,customer,CF11,CF11 0XR,-3.188714,51.462747
C_059,customer,CF3,CF3 0AZ,-3.088703,51.522283
C_060,customer,CF3,CF3 0HL,-3.095258,51.525747
C_061,customer,CF15,CF15 5BF,-3.261183,51.535913
C_062,customer,CF3,CF3 0EE,-3.099532,51.524268
C_063,customer,CF15,CF15 7LP,-3.252066,51.533107
C_064,customer,CF14,CF14 0EQ,-3.17275,51.536255
C_065,customer,CF10,CF10 1FD,-3.177086,51.477998
C_066,customer,CF3,CF3 0AW,-3.09506,51.5211
C_067,customer,CF14,CF14 0NJ,-3.183199,51.52777
C_068,customer,CF15,CF15 7JQ,-3.249479,51.535508
C_069,customer,CF23,CF23 5DL,-3.159557,51.496579
C_070,customer,CF24,CF24 0EJ,-3.164079,51.482939
C_071,customer,CF15,CF15 7QP,-3.271088,51.549357
C_072,customer,CF5,CF5 1BG,-3.221635,51.483198
C_073,customer,CF5,CF5 1DT,-3.221193,51.48822
C_074,customer,CF23,CF23 5BW,-3.156786,51.493504
C_075,customer,CF24,CF24 0EQ,-3.16309,51.482535
C_076,customer,CF14,CF14 0GD,-3.178498,51.545522
C_077,customer,CF14,CF14 0BU,-3.1635,51.537076
C_078,customer,CF10,CF10 1JA,-3.183833,51.479971
C_079,customer,CF5,CF5 1BN,-3.224759,51.484227
C_080,customer,CF10,CF10 1AF,-3.177407,51.478723
C_081,customer,CF11,CF11 0AN,-3.189462,51.451661
C_082,customer,CF3,CF3 0BW,-3.108308,51.525912
C_083,customer,CF3,CF3 0HB,-3.096198,51.525289
C_084,customer,CF15,CF15 7PJ,-3.267433,51.543435
C_085,customer,CF3,CF3 0BQ,-3.099392,51.520835
C_086,customer,CF11,CF11 0SD,-3.187486,51.44928
C_087,customer,CF14,CF14 0AT,-3.188733,51.545941
C_088,customer,CF5,CF5 1DL,-3.217773,51.489065
C_089,customer,CF11,CF11 0AH,-3.19018,51.452139
C_090,customer,CF5,CF5 1FN,-3.2114,51.485543
C_091,customer,CF10,CF10 1EA,-3.180683,51.480102
C_092,customer,CF5,CF5 1AS,-3.212371,51.487961
C_093,customer,CF14,CF14 0BJ,-3.163236,51.541988
C_094,customer,CF3,CF3 0AX,-3.094785,51.519862
C_095,customer,CF24,CF24 0AR,-3.15917,51.484138
C_096,customer,CF24,CF24 0JP,-3.158006,51.482549
C_097,customer,CF10,CF10 1GH,-3.17447,51.477044
C_098,customer,CF11,CF11 0BB,-3.188658,51.460607
C_099,customer,CF24,CF24 0JA,-3.161488,51.483531
C_100,customer,CF14,CF14 0LE,-3.143356,51.553719
C_101,customer,CF23,CF23 5BL,-3.157124,51.494337
C_102,customer,CF23,CF23 5EA,-3.153409,51.496136
C_103,customer,CF15,CF15 7PG,-3.265931,51.542318
C_104,customer,CF5,CF5 1EJ,-3.213263,51.48467
C_105,customer,CF14,CF14 0AJ,-3.163803,51.539321
C_106,customer,CF3,CF3 0EP,-3.101195,51.522095
C_107,customer,CF10,CF10 1DE,-3.181739,51.479731
C_108,customer,CF10,CF10 1FT,-3.179403,51.476815
C_109,customer,CF24,CF24 0JH,-3.160938,51.484561
C_110,customer,CF14,CF14 0NS,-3.17835,51.526452
C_111,customer,CF10,CF10 1BG,-3.179183,51.480566
C_112,customer,CF5,CF5 1BP,-3.227281,51.484839
C_113,customer,CF24,CF24 0JS,-3.157993,51.483727
C_114,customer,CF14,CF14 0PN,-3.18004,51.532145
C_115,customer,CF10,CF10 1AQ,-3.176117,51.479518
C_116,customer,CF24,CF24 0JU,-3.163775,51.484021
C_117,customer,CF15,CF15 7JW,-3.247123,51.534265
C_118,customer,CF5,CF5 1DA,-3.208135,51.482439
C_119,customer,CF14,CF14 0LB,-3.152356,51.56167
C_120,customer,CF14,CF14 0RF,-3.179361,51.529859
C_121,customer,CF23,CF23 5AP,-3.152127,51.493856
C_122,customer,CF15,CF15 7AE,-3.264688,51.541172
C_123,customer,CF15,CF15 7AD,-3.241745,51.528936
C_124,customer,CF15,CF15 7LY,-3.244436,51.529294
C_125,customer,CF23,CF23 5BH,-3.160962,51.495729
C_126,customer,CF23,CF23 5DT,-3.159926,51.497493
C_127,customer,CF3,CF3 0FL,-3.096413,51.516825
C_128,customer,CF15,CF15 7HU,-3.246885,51.529241
C_129,customer,CF15,CF15 7JE,-3.270764,51.551681
C_130,customer,CF5,CF5 1AZ,-3.203586,51.481991
C_131,customer,CF14,CF14 0RE,-3.180484,51.530342
C_132,customer,CF24,CF24 0AL,-3.169638,51.482389
C_133,customer,CF10,CF10 1EG,-3.17393,51.477904
C_134,customer,CF10,CF10 1PU,-3.18063,51.48084
C_135,customer,CF14,CF14 0ET,-3.178211,51.535535
C_136,customer,CF14,CF14 0ND,-3.18021,51.523664
C_137,customer,CF3,CF3 0DU,-3.100495,51.52951
C_138,customer,CF3,CF3 0AT,-3.110518,51.525522
C_139,customer,CF10,CF10 1GR,-3.178896,51.477827
C_140,customer,CF15,CF15 7PE,-3.264182,51.540611
