customer_id,service_time,window_start,window_end,recipes
0,0.0,0,1440,DEPOT
1,5.6,960,1200,Harvest Kale Salad with Bacon
2,9.02,960,1200,Figgy Balsamic Steak|Greek Goddess Steak & Bulgur Bowls
3,2.96,960,1200,Smoky Chipotle Turkey Burrito Bowls|Figgy Balsamic Chicken
4,7.57,480,720,Creamy Chicken Pot Pie|Curried Chicken & Roasted Sweet Potato Jumble
5,7.5,0,1440,Low-Lift Romesco Chicken & Garlic Herb Orzo
6,7.78,720,960,Organic Chicken & Creamy Lemon Zucchini Orzo|Shawarma Chicken & Turmeric Rice Bowls
7,3.76,720,960,Sweet Potato & Bacon Quesadillas|Argentinian Chicken|Ponzu-Glazed Trout & Broccoli Tempura
8,5.22,480,720,BBQ Flatbreads & Chicken Sausage|Pepita-Crusted Salmon|Sweet & Tangy Tempura Chicken Sandos
9,9.79,0,1440,Lemon Herb Salmon & Couscous
10,9.69,480,720,Firehouse Cheeseburgers
11,7.19,0,1440,Figgy Balsamic Bavette Steak|Cheesy Buffalo Chicken & Mashed Potato Bake|Rainbow Trout Agnolotti|Harvest Kale Salad with Bacon
12,5.72,480,720,Onion Crunch Organic Chicken|Mushroom & Spinach Ramen with Chicken
13,8.88,720,960,Shawarma Beef & Turmeric Rice Bowls
14,7.15,720,960,Pear & Walnut-Stuffed Chicken
15,5.29,960,1200,Cheesy Buffalo Chicken Flatbreads|Hainanese-Style Roasted Chicken & Rice
16,5.3,480,720,Crispy Korean-Style BBQ Mushroom Sandwiches
17,8.0,960,1200,Figgy Balsamic Chicken
18,5.53,720,960,Sweet Potato & Bacon Quesadillas
19,7.63,0,1440,Mexican-Spiced Chicken & Street Corn Rice Bowls|Zucchini & Turkey Pomodoro Penne Bake
20,2.61,0,1440,Sheet Pan Crunchy Organic Chicken|Pepita-Crusted Salmon
