recipe_name,Apple,Apricot Jam,Arugula,Asparagus,BBQ Sauce,Baby Iceberg Lettuce,Baby Lettuce,Bacon,Bacon Jam,Balsamic Glaze,Balsamic Vinegar,Barramundi,Basil Paste,Basmati Rice,Bavette Steak,Beef Stock Concentrate,Bell Pepper,Black Beans,Black Pepper,Black Peppercorns,Blackening Spice,Blue Cheese Dressing,Blue Corn Tortilla Chips,Brioche Buns,Broccoli,Brown Sugar,Brussels Sprouts,Buffalo Sauce,Bulgur Wheat,Butter,Buttermilk Biscuits,Buttermilk Ranch Dressing,Butternut Squash Agnolotti,Button Mushrooms,Cajun Spice Blend,Carrots,Cashews,Celery,Cheddar Cheese,Cheese Roux Concentrate,Cherry Jam,Chicken Cutlets,Chicken Stock Concentrate,Chickpeas,Chilean Sea Bass,Chili Crisp,Chili Flakes,Chili Pepper,Chili Powder,Chimichurri,Chipotle Powder,Chipotle Puree,Chives,Chopped Chicken Breast,Ciabatta,Cilantro,Cinnamon,Coconut Milk,Coleslaw Mix,Conehead Cabbage,Cooking Oil,Cooking Spray,Corn,Cornstarch,Cotija Cheese,Cranberry Jam,Cream Cheese,Cream Sauce Base,Cremini Mushrooms,Crispy Fried Onions,Croutons,Crème Fraîche,Cumin,Curry Powder,Demi-Baguette,Diced Skinless Dark Meat Chicken,Dijon Mustard,Dill,Dried Cherries,Dried Cranberries,Dried Oregano,Dried Rosemary,Dried Thyme,Edamame,Everything Bagel Seasoning,Fajita Spice Blend,Farro,Feta Cheese,Fig Jam,Fingerling Potatoes,Flatbreads,Flour,Flour Tortillas,Frank's Hot Sauce,Frank's Seasoning Blend,Fresh Mozzarella,Fresh Tomato Ricotta Ravioli,Fry Seasoning,Garlic,Garlic Herb Butter,Garlic Powder,Garlic-Ginger Scallion Paste,Ginger,Gluten-Free Fresh Fusilli Pasta,Goat Cheese,Gochujang Aioli,Gochujang Sauce,Gouda Cheese,Grape Tomatoes,Grass-Fed Rib-Eye Steak,Greek Vinaigrette,Green Beans,Green Bell Pepper,Green Olives,Ground Beef,Ground Pork,Ground Turkey,Guacamole,Half Chicken,Harissa Powder,Heirloom Grape Tomatoes,Hoisin Sauce,Honey,Honey Dijon Dressing,Hot Honey,Hot Sauce,Hummus,Israeli Couscous,Italian Cheese Blend,Italian Chicken Sausage Mix,Italian Seasoning,Jalapeño,Jasmine Rice,Kale,Katsu Sauce,Ketchup,Kimchi,Korean Chili Flakes,Lemon,Lemon-Herb Diced Chicken Thighs,Lentils,Lime,Linguine Pasta,Lo Mein Noodles,Lobster Tails,Long Green Pepper,Mango,Mango Chutney,Marinara Sauce,Marinated Artichoke Hearts,Mayonnaise,Mediterranean Crunch Salad Kit,Mexican Cheese Blend,Mexican Spice Blend,Microwavable Grain Blend,Microwavable Rice,Mini Cucumber,Mint,Miso Sauce Concentrate,Mixed Greens,Monterey Jack Cheese,Mozzarella Cheese,Multicolored Cauliflower,Mushroom Stock Concentrate,Old Bay Seasoning,Olive Oil,Onion,Onion Powder,Orange,Organic Chicken Cutlets,Orzo Pasta,Oven-Ready Tray,Panko Breadcrumbs,Parmesan Cheese,Parmesan Cheese Block,Parsley,Peach Jam,Peanut Butter,Peanuts,Pear,Peas,Pecans,Penne Pasta,Pepitas,Pesto,Pho Stock Concentrate,Pineapple,Pistachios,Pitas,Pizza Dough,Ponzu Sauce,Pork Chops,Pork Filet,Pork Ramen Stock Concentrate,Potato Buns,Potatoes,Prosciutto,Purple Sweet Potato,Queso Blanco,Radishes,Rainbow Trout,Ramen Noodles,Ranch Spice,Ranch Steak,Red Cabbage and Carrot Mix,Red Onion,Red Pepper Jam,Red Potatoes,Red Wine Vinegar,Rice Wine Vinegar,Ricotta Cheese,Romesco Sauce,Rosemary,Russet Potato,Salmon,Salt,Savory Paprika Blend,Scallions,Scallops,Seafood Stock Concentrate,Seasoned Precooked Potato Slices,Sesame Ginger Crunch,Sesame Oil,Sesame Seeds,Shallot,Shawarma Spice Blend,Sherry Vinegar,Shredded Carrots,Shredded Coconut,Shredded Red Cabbage,Shrimp,Sirloin Steak,Sliced Almonds,Smoked Paprika,Smoky Mustard,Smoky Red Pepper Crema,Snow Peas,Somos Al Pastor Simmer Sauce,Somos Mexican Brown Rice,Sour Cream,Sourdough Bread,Southwest Spice Blend,Soy Sauce,Spaghetti,Spicy Mayo,Spinach,Sriracha,Steelhead Trout,Sugar,Sugar Snap Peas,Sumac,Sweet Potato,Sweet Soy Glaze,Sweet Thai Chili Sauce,Swiss Cheese,Szechuan Paste,Tempura Batter Mix,Tex-Mex Paste,Thai Basil Chicken Spring Rolls,Thai Red Curry Paste,Three-Bean Blend,Thyme,Tilapia,Tofu,Tomato,Tomato Paste,Turmeric,Umami Ginger Sauce,Vegetarian Oyster Sauce,Veggie Stock Concentrate,Walnuts,White Cheddar Cheese,White Rice,White Wine Vinegar,Worcestershire Sauce,Yogurt,Za'atar Spice,Zucchini
Air Fryer Cajun Chicken & Bacon Sandos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Air Fryer Cajun Organic Chicken Sandos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Air Fryer Swicy Cajun Chicken Sandwiches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Argentinian Bavette Steak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentinian Chicken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Cheddar Burgers with Chipotle Mayo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Cheddar Turkeyburgers & Chipotle Mayo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Flatbreads & Chicken Sausage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Pineapple & Bacon Flatbreads,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQ Pineapple & Chicken Flatbreads,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
